,Agriculture Committee,Ways and Means Committee,Education and the Workforce Committee,Energy and Commerce Committee,Judiciary Committee,Oversight and Accountability Committee,Transportation and Infrastructure Committee,Budget Committee,Rules Committee,Committee on House Administration,Foreign Affairs Committee,Foreign Relations Committee,Natural Resources Committee,Financial Services Committee,,Armed Services Committee,Veterans,Rules and Administration Committee,Appropriations Committee,"Science, Space, and Technology Committee",Small Business Committee,Small Business and Entrepreneurship Committee,"Commerce, Science, and Transportation Committee",Homeland Security Committee,Indian Affairs Committee,Environment and Public Works Committee,Homeland Security and Governmental Affairs Committee,Intelligence (Permanent Select) Committee,Affairs Committee,"Health, Education, Labor, and Pensions Committee","Banking, Housing, and Urban Affairs Committee",Energy and Natural Resources Committee,"Agriculture, Nutrition, and Forestry Committee",Finance Committee,Ethics Committee,Intelligence (Select) Committee,Aging (Special) Committee
Agriculture Committee,0,43,47,76,28,22,47,8,4,4,16,0,112,43,4,17,6,0,0,21,6,0,0,6,0,0,0,8,0,0,3,2,5,1,0,0,0
Ways and Means Committee,43,0,120,324,110,74,58,24,19,19,82,4,38,79,13,39,18,0,6,26,9,0,0,31,0,0,1,14,0,2,1,0,0,5,2,0,0
Education and the Workforce Committee,47,120,0,139,99,56,47,10,6,30,26,1,42,59,8,29,13,0,2,25,8,0,0,12,0,0,2,9,0,14,2,0,0,2,2,0,0
Energy and Commerce Committee,76,324,139,0,168,75,123,23,9,10,81,0,111,76,8,44,15,0,2,59,7,0,28,25,2,1,1,13,0,38,0,4,0,5,0,0,0
Judiciary Committee,28,110,99,168,0,86,45,31,25,40,134,11,41,90,7,45,25,1,2,20,10,0,1,56,0,0,2,24,0,5,2,1,0,1,5,0,0
Oversight and Accountability Committee,22,74,56,75,86,0,42,25,29,53,54,1,26,45,11,49,16,0,2,18,6,0,1,17,0,0,70,17,0,1,0,0,0,1,3,0,0
Transportation and Infrastructure Committee,47,58,47,123,45,42,0,15,6,9,36,0,68,68,7,35,11,0,0,30,6,0,7,22,0,12,13,9,0,1,1,0,0,2,0,0,0
Budget Committee,8,24,10,23,31,25,15,0,28,14,6,2,15,19,2,5,4,1,21,3,2,1,1,3,0,1,8,3,1,1,4,0,0,0,1,0,0
Rules Committee,4,19,6,9,25,29,6,28,0,10,18,0,4,11,1,10,2,0,1,3,1,0,0,0,0,0,0,4,0,0,0,0,0,0,4,0,0
Committee on House Administration,4,19,30,10,40,53,9,14,10,0,6,0,4,43,0,6,1,4,1,8,0,0,0,5,0,0,1,5,0,1,4,1,0,0,4,0,0
Foreign Affairs Committee,16,82,26,81,134,54,36,6,18,6,0,51,36,87,2,68,5,0,3,13,0,0,1,25,0,0,1,30,0,0,0,0,0,0,0,0,0
Foreign Relations Committee,0,4,1,0,11,1,0,2,0,0,51,0,0,9,0,1,0,1,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0
Natural Resources Committee,112,38,42,111,41,26,68,15,4,4,36,0,0,32,4,26,10,0,0,41,8,0,2,8,13,3,0,8,0,0,0,33,0,1,0,0,0
Financial Services Committee,43,79,59,76,90,45,68,19,11,43,87,9,32,0,3,24,8,0,3,14,7,0,0,13,0,2,3,17,0,1,40,0,0,1,3,0,0
,4,13,8,8,7,11,7,2,1,0,2,0,4,3,0,22,136,0,0,2,0,0,0,3,0,0,0,0,65,0,0,0,0,0,0,0,0
Armed Services Committee,17,39,29,44,45,49,35,5,10,6,68,1,26,24,22,0,29,1,2,19,0,0,0,20,0,0,0,24,1,0,0,1,0,0,2,0,0
Veterans,6,18,13,15,25,16,11,4,2,1,5,0,10,8,136,29,0,1,0,3,0,0,0,6,0,0,0,0,65,0,0,0,0,0,0,0,0
Rules and Administration Committee,0,0,0,0,1,0,0,1,0,4,0,1,0,0,0,1,1,0,0,0,0,1,1,0,1,1,1,0,0,1,1,1,1,1,0,1,1
Appropriations Committee,0,6,2,2,2,2,0,21,1,1,3,0,0,3,0,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Science, Space, and Technology Committee",21,26,25,59,20,18,30,3,3,8,13,0,41,14,2,19,3,0,0,0,4,0,8,6,0,1,1,7,0,8,0,3,0,0,2,0,0
Small Business Committee,6,9,8,7,10,6,6,2,1,0,0,0,8,7,0,0,0,0,1,4,0,22,0,2,0,0,2,0,0,0,1,0,0,1,0,0,0
Small Business and Entrepreneurship Committee,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,22,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
"Commerce, Science, and Transportation Committee",0,0,0,28,1,1,7,1,0,0,1,0,2,0,0,0,0,1,0,8,0,0,0,7,0,0,1,0,0,0,3,0,0,0,0,0,0
Homeland Security Committee,6,31,12,25,56,17,22,3,0,5,25,0,8,13,3,20,6,0,1,6,2,0,7,0,0,0,37,11,0,0,0,0,0,0,2,0,0
Indian Affairs Committee,0,0,0,2,0,0,0,0,0,0,0,0,13,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Environment and Public Works Committee,0,0,0,1,0,0,12,1,0,0,0,0,3,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Homeland Security and Governmental Affairs Committee,0,1,2,1,2,70,13,8,0,1,1,0,0,3,0,0,0,1,0,1,2,0,1,37,0,0,0,1,0,0,3,0,0,0,0,0,0
Intelligence (Permanent Select) Committee,8,14,9,13,24,17,9,3,4,5,30,2,8,17,0,24,0,0,0,7,0,0,0,11,0,0,1,0,0,0,0,0,0,0,2,0,0
Affairs Committee,0,0,0,0,0,0,0,1,0,0,0,0,0,0,65,1,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Health, Education, Labor, and Pensions Committee",0,2,14,38,5,1,1,1,0,1,0,0,0,1,0,0,0,1,0,8,0,1,0,0,0,0,0,0,0,0,5,0,0,1,0,0,0
"Banking, Housing, and Urban Affairs Committee",3,1,2,0,2,0,1,4,0,4,0,2,0,40,0,0,0,1,0,0,1,1,3,0,0,0,3,0,0,5,0,3,1,15,0,0,0
Energy and Natural Resources Committee,2,0,0,4,1,0,0,0,0,1,0,0,33,0,0,1,0,1,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
"Agriculture, Nutrition, and Forestry Committee",5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Finance Committee,1,5,2,5,1,1,2,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,15,0,0,0,0,0,0
Ethics Committee,0,2,2,0,5,3,0,1,4,4,0,0,0,3,0,2,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0
Intelligence (Select) Committee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aging (Special) Committee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
